id,city_id,name,pob_total,pob_mas,pob_fem
489,Cuauhtemoc,Ninguno,48,23,25
490,Cuauhtemoc,El Polvorete,1,*,*
491,Cuauhtemoc,Los Zapotes,1,*,*
492,Cuauhtemoc,Salida a San Joaquin,7,*,*
493,Cuauhtemoc,Roberto Martinez [Vivero],6,*,*
494,Cuauhtemoc,Julia Vaca,3,*,*
495,Cuauhtemoc,German Ascencio Faubet,2,*,*
496,Cuauhtemoc,Salvador Negrete,3,*,*
497,Cuauhtemoc,El Trapiche,5,*,*
498,Cuauhtemoc,El Cahuitito,2,*,*
499,Cuauhtemoc,Hortensia Shulte,1,*,*
500,Cuauhtemoc,J. Guadalupe Madrigal,4,*,*
501,Cuauhtemoc,El Pino,1,*,*
502,Cuauhtemoc,Los Avillos,4,*,*
503,Cuauhtemoc,El Refugio,2,*,*
504,Cuauhtemoc,Roberto Vallejo,2,*,*
505,Cuauhtemoc,Carlos Flores,4,*,*
506,Cuauhtemoc,La Zacatera,5,*,*
507,Cuauhtemoc,El Soguillero,1,*,*
508,Cuauhtemoc,Maria del Pilar Gomez,1,*,*
509,Cuauhtemoc,Junio Urzua,3,*,*
510,Cuauhtemoc,Karin Urzua,5,*,*
511,Cuauhtemoc,Los Cuartos,1,*,*
512,Cuauhtemoc,Luis Leonel Amezcua,4,*,*
513,Cuauhtemoc,La Escaramuza,4,*,*
514,Cuauhtemoc,Rancho Maria Luisa,3,*,*
515,Cuauhtemoc,Terencio Galindo,3,*,*
516,Cuauhtemoc,De Alba,3,*,*
517,Cuauhtemoc,Emily,3,*,*
518,Cuauhtemoc,Rancho Ochun,3,*,*
519,Cuauhtemoc,Rigoberto Quinones,3,*,*
523,Ixtlahuacan,Ixtlahuacan,2717,1330,1387
524,Ixtlahuacan,Agua de la Virgen,156,81,75
525,Ixtlahuacan,El Alpuyeque,5,*,*
526,Ixtlahuacan,Aquiles Serdan (Tamala),403,203,200
527,Ixtlahuacan,El Camichin (Veintiseis de Julio),49,26,23
528,Ixtlahuacan,El Capire,63,28,35
529,Ixtlahuacan,Cautan,13,7,6
530,Ixtlahuacan,Las Conchas,419,225,194
531,Ixtlahuacan,Chamila,38,20,18
532,Ixtlahuacan,El Galaje,65,31,34
533,Ixtlahuacan,Higueras de Santa Rosa,20,10,10
534,Ixtlahuacan,Jiliotupa,40,25,15
535,Ixtlahuacan,La Presa (Barranca del Rebozo),489,250,239
536,Ixtlahuacan,San Gabriel,29,16,13
537,Ixtlahuacan,Santa Ines,7,*,*
538,Ixtlahuacan,La Tabaquera,4,*,*
539,Ixtlahuacan,El Tecualanal,6,4,2
540,Ixtlahuacan,Las Trancas,142,74,68
541,Ixtlahuacan,La Tunita,32,17,15
542,Ixtlahuacan,Zinacamitlan (Los Chicos),295,155,140
543,Ixtlahuacan,Las Anonas,2,*,*
544,Ixtlahuacan,Los Chicos,1,*,*
545,Ixtlahuacan,La Tepamera,26,14,12
546,Ixtlahuacan,Lazaro Cardenas,91,47,44
